ano,mes,data,regiao,uf,municipio,expectativa_vida,taxa_mortalidade,taxa_internacao,cobertura_vacinal,medicos_por_1000,leitos_hospitalares,casos_doencas_cronicas,nivel_criticidade
2015,2,2015-02-01,Sudeste,RJ,Nova Iguaçu,74.9,9.36,112.63,83.82,0.98,2829,199164,Crítico
2015,2,2015-02-01,Sudeste,RJ,Petrópolis,70.8,7.36,95.78,77.22,2.44,1423,82032,Crítico
2015,2,2015-02-01,Sudeste,MG,Belo Horizonte,72.3,6.8,106.86,62.55,3.78,1035,39287,Baixo
2015,2,2015-02-01,Sudeste,MG,Uberlândia,74.9,8.87,177.28,62.45,2.0,589,166738,Baixo
2015,2,2015-02-01,Sudeste,MG,Juiz de Fora,71.0,9.87,157.79,50.53,2.75,10877,167528,Alto
2015,2,2015-02-01,Sudeste,ES,Vitória,68.8,10.31,116.05,83.03,1.59,1576,122213,Alto
2015,2,2015-02-01,Sudeste,ES,Vila Velha,71.6,6.0,112.37,72.7,2.89,10466,154923,Crítico
2015,2,2015-02-01,Sudeste,ES,Serra,71.7,8.44,133.47,68.44,2.29,7408,43292,Médio
2015,2,2015-02-01,Sul,PR,Curitiba,72.5,7.95,174.3,62.06,1.55,9722,153698,Crítico
2015,2,2015-02-01,Sul,PR,Londrina,71.9,8.83,133.59,75.43,2.43,10009,49272,Baixo
2015,2,2015-02-01,Sul,SC,Florianópolis,69.5,8.08,155.81,80.62,1.89,2382,93628,Alto
2015,2,2015-02-01,Sul,SC,Joinville,73.3,8.78,120.24,92.91,2.28,9735,39904,Baixo
2015,2,2015-02-01,Sul,RS,Porto Alegre,69.9,11.66,57.66,74.15,1.01,8665,105865,Alto
2015,2,2015-02-01,Sul,RS,Caxias do Sul,74.9,9.38,87.75,85.45,2.19,6998,103189,Alto
2015,3,2015-03-01,Norte,AM,Manaus,71.1,7.03,52.53,87.46,1.9,2430,196412,Baixo
2015,3,2015-03-01,Norte,PA,Belém,74.1,11.07,61.14,74.03,3.93,9018,102669,Baixo
2015,3,2015-03-01,Norte,PA,Santarém,71.8,4.95,103.97,50.87,1.05,3336,124109,Baixo
2015,3,2015-03-01,Norte,RO,Porto Velho,76.6,5.53,150.6,97.55,3.49,8043,95730,Baixo
2015,3,2015-03-01,Norte,TO,Palmas,73.8,6.32,149.18,66.82,1.86,740,130102,Crítico
2015,3,2015-03-01,Nordeste,BA,Salvador,76.2,10.79,98.48,59.24,3.86,1627,193536,Médio
2015,3,2015-03-01,Nordeste,BA,Feira de Santana,75.5,11.71,73.21,51.63,2.93,10061,26834,Crítico
2015,3,2015-03-01,Nordeste,PE,Recife,69.5,6.31,140.04,57.04,2.37,2719,38952,Alto
2015,3,2015-03-01,Nordeste,PE,Jaboatão dos Guararapes,76.4,11.99,73.74,55.0,1.62,2841,131981,Alto
2015,3,2015-03-01,Nordeste,CE,Fortaleza,71.8,5.17,99.42,61.45,3.87,9109,199716,Médio
2015,3,2015-03-01,Nordeste,CE,Juazeiro do Norte,72.9,8.32,60.09,73.21,3.46,9763,86324,Baixo
2015,3,2015-03-01,Nordeste,MA,São Luís,70.4,7.1,124.61,81.49,1.5,11881,122085,Baixo
2015,3,2015-03-01,Nordeste,PB,João Pessoa,72.0,6.87,165.23,91.7,2.37,11227,78535,Crítico
2015,3,2015-03-01,Centro-Oeste,DF,Brasília,72.4,5.54,134.87,71.51,0.97,5187,187578,Médio
2015,3,2015-03-01,Centro-Oeste,GO,Goiânia,73.5,10.77,173.89,84.33,2.09,11981,104257,Crítico
2015,3,2015-03-01,Centro-Oeste,GO,Aparecida de Goiânia,71.0,4.08,70.61,88.99,2.28,2039,11545,Alto
2015,3,2015-03-01,Centro-Oeste,MT,Cuiabá,78.9,6.67,87.01,66.8,2.38,5216,167569,Baixo
2015,3,2015-03-01,Centro-Oeste,MS,Campo Grande,76.8,11.82,99.0,97.9,3.19,217,116273,Baixo
2015,3,2015-03-01,Sudeste,SP,São Paulo,70.7,4.31,140.46,75.33,3.28,4953,56823,Crítico
2015,3,2015-03-01,Sudeste,SP,Campinas,78.0,8.77,175.44,72.11,3.07,844,101286,Alto
2015,3,2015-03-01,Sudeste,SP,Ribeirão Preto,76.7,6.93,109.86,79.73,3.99,9633,146856,Médio
2015,3,2015-03-01,Sudeste,RJ,Rio de Janeiro,72.3,11.58,118.4,78.65,3.02,3415,46781,Médio
2015,3,2015-03-01,Sudeste,RJ,Niterói,77.8,5.82,75.13,86.88,3.92,1349,109968,Baixo
2015,3,2015-03-01,Sudeste,RJ,Nova Iguaçu,76.1,4.52,166.41,87.42,1.08,3753,123222,Crítico
2015,3,2015-03-01,Sudeste,RJ,Petrópolis,71.0,9.66,66.95,67.09,3.32,7916,51869,Baixo
2015,3,2015-03-01,Sudeste,MG,Belo Horizonte,74.9,11.45,77.99,54.3,3.23,3137,79014,Médio
2015,3,2015-03-01,Sudeste,MG,Uberlândia,76.4,9.18,131.55,79.8,3.07,4210,30457,Alto
2015,3,2015-03-01,Sudeste,MG,Juiz de Fora,73.1,7.38,142.13,95.69,2.74,9252,169578,Alto
2015,3,2015-03-01,Sudeste,ES,Vitória,69.6,5.83,178.24,76.34,3.67,8062,20689,Alto
2015,3,2015-03-01,Sudeste,ES,Vila Velha,76.7,5.37,169.82,68.24,1.73,7352,109969,Médio
2015,3,2015-03-01,Sudeste,ES,Serra,73.9,9.56,165.03,91.85,2.43,474,76402,Alto
2015,3,2015-03-01,Sul,PR,Curitiba,76.2,5.22,102.69,77.73,1.28,6203,10484,Crítico
2015,3,2015-03-01,Sul,PR,Londrina,69.3,11.17,125.84,89.86,3.79,1240,46202,Crítico
2015,3,2015-03-01,Sul,SC,Florianópolis,77.8,6.77,135.63,71.14,1.95,9678,34567,Médio
2015,3,2015-03-01,Sul,SC,Joinville,73.3,4.16,128.67,60.53,1.51,177,53261,Baixo
2015,3,2015-03-01,Sul,RS,Porto Alegre,76.7,5.21,131.53,73.48,2.73,765,66674,Crítico
2015,3,2015-03-01,Sul,RS,Caxias do Sul,78.2,10.5,67.42,62.56,2.61,805,73139,Crítico
2015,4,2015-04-01,Norte,AM,Manaus,69.9,11.54,176.38,70.35,3.26,8565,191346,Alto
2015,4,2015-04-01,Norte,PA,Belém,76.3,5.32,152.76,82.15,2.92,1570,8764,Baixo
2015,4,2015-04-01,Norte,PA,Santarém,72.9,4.75,81.3,52.16,3.73,3211,109863,Baixo
2015,4,2015-04-01,Norte,RO,Porto Velho,78.1,11.23,116.26,97.16,3.53,3658,25292,Médio
2015,4,2015-04-01,Norte,TO,Palmas,76.7,5.4,73.44,89.99,3.16,11887,86541,Médio
2015,4,2015-04-01,Nordeste,BA,Salvador,72.1,11.16,112.34,82.07,2.75,1092,160279,Alto
2015,4,2015-04-01,Nordeste,BA,Feira de Santana,74.7,4.86,51.01,74.92,3.84,1211,15743,Médio
2015,4,2015-04-01,Nordeste,PE,Recife,78.4,7.05,139.45,96.96,3.77,1087,87273,Baixo
2015,4,2015-04-01,Nordeste,PE,Jaboatão dos Guararapes,74.7,6.07,101.1,83.31,3.93,4434,85129,Baixo
2015,4,2015-04-01,Nordeste,CE,Fortaleza,69.5,6.82,166.07,95.53,3.92,8294,143464,Crítico
2015,4,2015-04-01,Nordeste,CE,Juazeiro do Norte,70.4,11.39,116.56,65.88,3.56,11148,170613,Baixo
2015,4,2015-04-01,Nordeste,MA,São Luís,75.2,5.93,76.8,55.22,2.7,6448,41726,Alto
2015,4,2015-04-01,Nordeste,PB,João Pessoa,77.1,11.28,73.03,66.8,3.96,3986,126519,Alto
2015,4,2015-04-01,Centro-Oeste,DF,Brasília,72.0,7.01,95.94,59.1,3.07,8459,184259,Médio
2015,4,2015-04-01,Centro-Oeste,GO,Goiânia,75.0,4.78,56.95,85.59,3.44,10729,70750,Médio
2015,4,2015-04-01,Centro-Oeste,GO,Aparecida de Goiânia,70.2,9.22,132.83,79.74,1.24,5819,144294,Baixo
2015,4,2015-04-01,Centro-Oeste,MT,Cuiabá,78.2,8.04,49.0,54.8,3.48,1109,181914,Baixo
2015,4,2015-04-01,Centro-Oeste,MS,Campo Grande,71.1,9.2,93.83,77.67,1.68,6402,110550,Alto
2015,4,2015-04-01,Sudeste,SP,São Paulo,76.7,8.61,146.95,86.37,0.89,6976,112639,Crítico
2015,4,2015-04-01,Sudeste,SP,Campinas,75.1,9.37,94.9,53.5,2.74,6222,51637,Alto
2015,4,2015-04-01,Sudeste,SP,Ribeirão Preto,74.2,11.57,100.11,81.37,1.83,11686,170271,Baixo
2015,4,2015-04-01,Sudeste,RJ,Rio de Janeiro,70.8,6.46,58.93,65.32,1.43,3994,199999,Baixo
2015,4,2015-04-01,Sudeste,RJ,Niterói,75.4,9.21,50.54,82.29,2.47,7402,99361,Baixo
2015,4,2015-04-01,Sudeste,RJ,Nova Iguaçu,69.6,6.77,45.14,56.53,3.67,9520,178279,Crítico
2015,4,2015-04-01,Sudeste,RJ,Petrópolis,77.7,8.43,64.49,90.89,2.28,376,164160,Médio
2015,4,2015-04-01,Sudeste,MG,Belo Horizonte,68.1,4.74,46.56,97.71,1.2,10277,71875,Baixo
2015,4,2015-04-01,Sudeste,MG,Uberlândia,75.0,6.96,105.71,59.4,3.9,10764,26238,Baixo
2015,4,2015-04-01,Sudeste,MG,Juiz de Fora,73.9,8.66,154.78,90.33,2.64,3394,11480,Baixo
2015,4,2015-04-01,Sudeste,ES,Vitória,77.5,6.5,51.75,83.11,3.79,9236,98967,Médio
2015,4,2015-04-01,Sudeste,ES,Vila Velha,77.1,6.24,104.75,74.9,1.87,10973,72589,Crítico
2015,4,2015-04-01,Sudeste,ES,Serra,68.7,6.71,131.78,53.3,1.91,1409,50717,Crítico
2015,4,2015-04-01,Sul,PR,Curitiba,68.2,8.11,142.43,50.47,3.46,10438,72194,Baixo
2015,4,2015-04-01,Sul,PR,Londrina,70.0,7.72,94.7,54.6,1.52,6625,27853,Alto
2015,4,2015-04-01,Sul,SC,Florianópolis,70.3,10.95,160.05,91.17,3.44,6676,162326,Crítico
2015,4,2015-04-01,Sul,SC,Joinville,77.1,11.86,143.37,64.41,2.69,542,183609,Médio
2015,4,2015-04-01,Sul,RS,Porto Alegre,76.0,5.29,170.16,89.94,1.9,3984,190254,Baixo
2015,4,2015-04-01,Sul,RS,Caxias do Sul,72.8,5.28,152.62,76.7,1.72,4618,146529,Baixo
2015,5,2015-05-01,Norte,AM,Manaus,76.6,7.18,44.37,58.68,3.99,8339,10985,Crítico
2015,5,2015-05-01,Norte,PA,Belém,73.2,7.83,45.45,62.86,2.34,11226,94974,Crítico
2015,5,2015-05-01,Norte,PA,Santarém,69.1,4.79,157.89,53.47,1.32,9009,156060,Baixo
2015,5,2015-05-01,Norte,RO,Porto Velho,75.3,11.96,162.44,82.17,3.21,9936,23499,Crítico
2015,5,2015-05-01,Norte,TO,Palmas,75.5,9.41,40.96,64.93,3.66,3294,40002,Alto
2015,5,2015-05-01,Nordeste,BA,Salvador,69.8,5.18,46.32,96.84,0.9,9353,141055,Médio
2015,5,2015-05-01,Nordeste,BA,Feira de Santana,75.5,8.12,117.64,83.4,2.5,275,65502,Baixo
2015,5,2015-05-01,Nordeste,PE,Recife,68.9,4.69,71.62,74.32,3.91,4944,8848,Crítico
2015,5,2015-05-01,Nordeste,PE,Jaboatão dos Guararapes,74.2,9.21,122.91,74.82,2.93,6345,79871,Baixo
2015,5,2015-05-01,Nordeste,CE,Fortaleza,68.3,7.71,49.75,81.38,3.11,7316,185559,Baixo
2015,5,2015-05-01,Nordeste,CE,Juazeiro do Norte,68.9,10.23,92.98,60.67,2.0,11483,86813,Médio
2015,5,2015-05-01,Nordeste,MA,São Luís,77.8,9.09,178.64,62.94,1.95,9697,13143,Crítico
2015,5,2015-05-01,Nordeste,PB,João Pessoa,74.3,9.17,150.9,85.8,1.73,9532,83836,Crítico
2015,5,2015-05-01,Centro-Oeste,DF,Brasília,69.8,7.6,179.97,94.05,3.14,5794,85556,Alto
2015,5,2015-05-01,Centro-Oeste,GO,Goiânia,74.2,10.87,91.04,72.23,2.43,11762,42436,Médio
2015,5,2015-05-01,Centro-Oeste,GO,Aparecida de Goiânia,69.3,9.91,129.64,77.45,1.68,1428,186921,Crítico
2015,5,2015-05-01,Centro-Oeste,MT,Cuiabá,70.7,7.56,57.41,54.17,3.43,9980,99775,Médio
2015,5,2015-05-01,Centro-Oeste,MS,Campo Grande,75.5,5.87,154.73,61.05,1.9,5606,64669,Baixo
2015,5,2015-05-01,Sudeste,SP,São Paulo,77.9,8.39,140.37,83.28,1.26,9248,31273,Baixo
2015,5,2015-05-01,Sudeste,SP,Campinas,69.4,9.14,93.27,95.83,2.86,11750,106895,Crítico
2015,5,2015-05-01,Sudeste,SP,Ribeirão Preto,69.7,9.68,134.91,97.05,1.3,11230,141375,Médio
2015,5,2015-05-01,Sudeste,RJ,Rio de Janeiro,77.0,4.56,50.73,62.71,2.57,1541,116192,Baixo
2015,5,2015-05-01,Sudeste,RJ,Niterói,68.9,6.51,101.3,52.32,2.59,4462,60851,Médio
2015,5,2015-05-01,Sudeste,RJ,Nova Iguaçu,69.4,9.31,54.85,56.08,3.01,10742,57034,Crítico
2015,5,2015-05-01,Sudeste,RJ,Petrópolis,70.0,11.67,143.94,53.94,3.49,8025,161998,Médio
2015,5,2015-05-01,Sudeste,MG,Belo Horizonte,75.6,9.62,133.98,80.8,2.05,748,124604,Médio
2015,5,2015-05-01,Sudeste,MG,Uberlândia,74.0,6.96,141.91,53.73,1.26,3104,163616,Baixo
2015,5,2015-05-01,Sudeste,MG,Juiz de Fora,76.6,10.78,151.14,66.65,1.41,6848,142983,Crítico
2015,5,2015-05-01,Sudeste,ES,Vitória,73.9,10.89,171.31,80.5,3.81,7784,99572,Alto
2015,5,2015-05-01,Sudeste,ES,Vila Velha,69.6,10.45,96.94,54.24,2.28,4801,56411,Crítico
2015,5,2015-05-01,Sudeste,ES,Serra,75.5,11.06,82.1,85.21,2.61,6142,124674,Alto
2015,5,2015-05-01,Sul,PR,Curitiba,76.6,7.77,155.9,96.07,2.43,4639,150643,Crítico
2015,5,2015-05-01,Sul,PR,Londrina,73.8,7.67,55.54,69.42,1.27,4841,26965,Alto
2015,5,2015-05-01,Sul,SC,Florianópolis,75.9,4.07,60.07,52.68,2.54,2444,99913,Crítico
2015,5,2015-05-01,Sul,SC,Joinville,71.1,9.69,173.81,56.74,2.72,11282,174127,Alto
2015,5,2015-05-01,Sul,RS,Porto Alegre,68.7,11.76,114.57,80.53,3.84,10649,135577,Baixo
2015,5,2015-05-01,Sul,RS,Caxias do Sul,74.2,10.25,126.25,59.19,3.05,2784,94591,Baixo
2015,6,2015-06-01,Norte,AM,Manaus,74.6,11.9,59.71,56.77,3.84,5522,2991,Alto
2015,6,2015-06-01,Norte,PA,Belém,69.8,4.39,74.62,55.13,3.39,1499,152458,Crítico
2015,6,2015-06-01,Norte,PA,Santarém,72.2,5.56,136.21,88.86,3.55,1229,195743,Baixo
2015,6,2015-06-01,Norte,RO,Porto Velho,71.1,8.28,50.52,87.77,2.83,6380,114788,Crítico
2015,6,2015-06-01,Norte,TO,Palmas,72.8,8.36,148.72,55.01,1.39,7769,170591,Médio
2015,6,2015-06-01,Nordeste,BA,Salvador,69.1,5.67,43.59,86.29,1.79,8448,33563,Médio
2015,6,2015-06-01,Nordeste,BA,Feira de Santana,79.0,11.13,135.05,72.11,2.43,11002,71866,Baixo
2015,6,2015-06-01,Nordeste,PE,Recife,70.3,5.58,106.06,50.61,1.76,11618,184156,Crítico
2015,6,2015-06-01,Nordeste,PE,Jaboatão dos Guararapes,72.3,5.19,122.98,63.39,3.65,2383,81267,Alto
2015,6,2015-06-01,Nordeste,CE,Fortaleza,77.1,7.43,68.29,50.93,0.94,10138,129420,Crítico
2015,6,2015-06-01,Nordeste,CE,Juazeiro do Norte,69.9,8.0,65.91,70.56,1.37,11372,18392,Crítico
2015,6,2015-06-01,Nordeste,MA,São Luís,72.9,10.41,78.28,90.82,1.16,6491,124361,Crítico
2015,6,2015-06-01,Nordeste,PB,João Pessoa,77.5,7.76,127.03,67.74,2.43,5011,38712,Crítico
2015,6,2015-06-01,Centro-Oeste,DF,Brasília,68.3,10.66,53.42,75.46,0.9,11190,150139,Alto
2015,6,2015-06-01,Centro-Oeste,GO,Goiânia,71.2,4.36,171.97,77.1,2.32,10123,144786,Médio
2015,6,2015-06-01,Centro-Oeste,GO,Aparecida de Goiânia,70.2,6.98,46.65,78.23,2.12,1528,190054,Crítico
2015,6,2015-06-01,Centro-Oeste,MT,Cuiabá,77.9,9.85,54.03,91.81,1.09,9647,82021,Crítico
2015,6,2015-06-01,Centro-Oeste,MS,Campo Grande,78.8,11.25,100.83,52.4,1.56,693,3796,Baixo
2015,6,2015-06-01,Sudeste,SP,São Paulo,72.2,6.24,159.78,51.86,0.91,235,57787,Médio
2015,6,2015-06-01,Sudeste,SP,Campinas,71.4,6.09,154.39,88.04,2.47,6127,118971,Crítico
2015,6,2015-06-01,Sudeste,SP,Ribeirão Preto,71.0,5.93,74.02,74.59,1.45,11848,133819,Baixo
2015,6,2015-06-01,Sudeste,RJ,Rio de Janeiro,70.5,4.58,97.55,72.28,2.61,9026,186113,Crítico
2015,6,2015-06-01,Sudeste,RJ,Niterói,75.0,9.79,165.29,50.02,1.83,11243,4821,Baixo
2015,6,2015-06-01,Sudeste,RJ,Nova Iguaçu,75.9,11.12,58.26,83.46,1.4,7760,71588,Crítico
2015,6,2015-06-01,Sudeste,RJ,Petrópolis,71.3,8.42,110.7,65.57,2.71,5659,98018,Baixo
2015,6,2015-06-01,Sudeste,MG,Belo Horizonte,73.0,10.96,55.64,64.32,2.79,683,133727,Crítico
2015,6,2015-06-01,Sudeste,MG,Uberlândia,69.1,4.29,107.43,79.28,2.03,1990,37931,Médio
2015,6,2015-06-01,Sudeste,MG,Juiz de Fora,75.8,5.43,66.82,69.21,0.93,8287,98116,Alto
2015,6,2015-06-01,Sudeste,ES,Vitória,76.7,10.69,107.97,95.81,3.85,4719,197608,Crítico
2015,6,2015-06-01,Sudeste,ES,Vila Velha,75.6,9.21,74.99,93.99,3.69,6484,184051,Alto
2015,6,2015-06-01,Sudeste,ES,Serra,76.7,11.9,81.2,56.51,2.67,2576,74944,Médio
2015,6,2015-06-01,Sul,PR,Curitiba,70.4,7.96,159.25,66.8,0.98,9487,156327,Médio
2015,6,2015-06-01,Sul,PR,Londrina,74.7,7.04,123.76,67.89,2.74,7629,12191,Alto
2015,6,2015-06-01,Sul,SC,Florianópolis,78.6,11.84,166.61,60.32,2.36,1220,144166,Baixo
2015,6,2015-06-01,Sul,SC,Joinville,73.8,11.53,111.9,89.96,0.97,4194,169350,Médio
2015,6,2015-06-01,Sul,RS,Porto Alegre,74.8,11.26,158.0,72.72,2.44,990,1146,Médio
2015,6,2015-06-01,Sul,RS,Caxias do Sul,70.9,7.99,126.86,78.23,2.97,1214,104542,Médio
2015,7,2015-07-01,Norte,AM,Manaus,78.8,6.02,145.75,79.66,3.44,1787,30457,Crítico
2015,7,2015-07-01,Norte,PA,Belém,76.2,8.94,98.88,69.55,3.71,10822,12407,Médio
2015,7,2015-07-01,Norte,PA,Santarém,75.8,5.61,85.78,74.17,1.4,5083,94499,Crítico
2015,7,2015-07-01,Norte,RO,Porto Velho,77.9,6.68,70.91,97.01,0.82,9137,64426,Baixo
2015,7,2015-07-01,Norte,TO,Palmas,71.3,5.48,179.03,72.7,3.41,3635,81101,Crítico
2015,7,2015-07-01,Nordeste,BA,Salvador,77.0,7.93,146.76,93.47,1.47,8304,94978,Alto
2015,7,2015-07-01,Nordeste,BA,Feira de Santana,71.3,6.55,56.19,69.66,1.88,3957,85594,Alto
2015,7,2015-07-01,Nordeste,PE,Recife,75.4,10.59,73.6,53.13,1.87,6596,53055,Médio
2015,7,2015-07-01,Nordeste,PE,Jaboatão dos Guararapes,68.5,10.96,81.0,96.75,3.34,4415,57281,Crítico
2015,7,2015-07-01,Nordeste,CE,Fortaleza,68.9,10.97,124.47,54.31,1.99,8148,178800,Baixo
2015,7,2015-07-01,Nordeste,CE,Juazeiro do Norte,74.3,5.38,85.5,60.37,3.69,9205,153789,Alto
2015,7,2015-07-01,Nordeste,MA,São Luís,77.4,10.45,48.38,58.75,2.45,8344,156056,Alto
2015,7,2015-07-01,Nordeste,PB,João Pessoa,78.9,7.32,51.68,61.81,3.43,10855,37422,Alto
2015,7,2015-07-01,Centro-Oeste,DF,Brasília,73.0,6.72,128.18,75.17,2.13,11099,143730,Médio
